id,title,tags,poster_path,poster_url,genres
19404,Dilwale Dulhania Le Jayenge,"musical raj is a rich, carefree, happy-go-lucky second generation nri. simran is the daughter of chaudhary baldev singh, who in spite of being an nri is very strict about adherence to indian values. simran has left for india to be married to her childhood fiancé. raj leaves for india with a mission at his hands, to claim his lady love under the noses of her whole family. thus begins a saga. comedy shahrukhkhan adityachopra",/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,https://image.tmdb.org/t/p/w185/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,"['Comedy', 'Drama', 'Romance']"
420714,Planet Earth II,mountain island earth jungle miniseries desert nature cities naturedocumentary david attenborough presents a documentary series exploring how animals meet the challenges of surviving in the most iconic habitats on earth. documentary davidattenborough,,,['Documentary']
192040,Planet Earth,"miniseries greatcinematpgraphy a documentary miniseries described by its makers as ""the definitive look at the diversity of our planet"". each 50 minute episode features a global overview of a different biome or habitat on earth (polar, mountain, cave, desert, plains, fresh water, seas, ocean, forest), followed by a ten-minute featurette which takes a behind-the-scenes look at the challenges of filming the episode. documentary davidattenborough alastairfothergill",,,['Documentary']
278,The Shawshank Redemption,"prison corruption policebrutality prisoncell delinquent paroleboard escapefromprison wrongfulimprisonment framedformurder 1940s framed in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope. drama timrobbins frankdarabont",/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/w185/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"['Drama', 'Crime']"
238,The Godfather,"italy loveatfirstsight lossoffather patriarch organizedcrime mafia lawyer italianamerican crimefamily risetopower mobboss 1940s spanning the years 1945 to 1955, a chronicle of the fictional italian-american corleone crime family. when organized crime family patriarch, vito corleone barely survives an attempt on his life, his youngest son, michael steps in to take care of the would-be killers, launching a campaign of bloody revenge. drama marlonbrando francisfordcoppola",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://image.tmdb.org/t/p/w185/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"['Drama', 'Crime']"
372058,Your Name.,"supernatural romance school starcrossedlovers anime bodyswitching high schoolers mitsuha and taki are complete strangers living separate lives. but one night, they suddenly switch places. mitsuha wakes up in taki’s body, and he in hers. this bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other. romance ryunosukekamiki makotoshinkai",/q719jXXEzOoYaps6babgKnONONX.jpg,https://image.tmdb.org/t/p/w185/q719jXXEzOoYaps6babgKnONONX.jpg,"['Romance', 'Animation', 'Drama']"
155,The Dark Knight,"dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomic tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker. drama christianbale christophernolan",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://image.tmdb.org/t/p/w185/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"['Drama', 'Action', 'Crime', 'Thriller']"
550,Fight Club,"supportgroup dualidentity nihilism rageandhate insomnia dystopia violence a ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion. drama edwardnorton davidfincher",/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,https://image.tmdb.org/t/p/w185/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,['Drama']
680,Pulp Fiction,"transporter brothel drugdealer boxer massage stolenmoney crimeboss dancecontest junkyard kamikaze ambiguousending briefcase redemption heirloom pulpfiction referencetoalgreen theft brutality a burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. their adventures unfurl in three stories that ingeniously trip back and forth in time. thriller johntravolta quentintarantino",/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,https://image.tmdb.org/t/p/w185/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,"['Thriller', 'Crime']"
424,Schindler's List,factory concentrationcamp hero holocaust worldwarii nazis defenseindustry biography theholocaust the true story of how businessman oskar schindler saved over a thousand jewish lives from the nazis while they worked as slaves in his factory during world war ii. drama liamneeson stevenspielberg,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://image.tmdb.org/t/p/w185/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"['Drama', 'History', 'War']"
